,Rang,Page,Vues totales,Vues par jour,Évol. rang
0,1,Cookie (informatique),199 265 163,6 427 908,
1,2,-,806 627,26 020,
2,3,Google Traduction,761 525,24 565,
3,4,Affaire d'Outreau,617 884,19 932,
4,5,Lisa Marie Presley,595 143,19 198,
5,6,ChatGPT,516 538,16 663,
6,7,Noël Le Graët,475 037,15 324,
7,8,France,427 249,13 782,
8,9,Cristiano Ronaldo,416 861,13 447,
9,10,États-Unis,392 224,12 652,
10,11,Liste des plus gros succès du box-office mondial,362 330,11 688,
11,12,Championnat du monde masculin de handball 2023,337 614,10 891,
12,13,N'oubliez pas les paroles !,311 957,10 063,
13,14,Elvis Presley,309 234,9 975,
14,15,Edgar Allan Poe,290 933,9 385,
15,16,Kylian Mbappé,268 443,8 659,
16,17,Russie,263 545,8 501,
17,18,Priscilla Presley,263 192,8 490,
18,19,Benoît XVI,252 936,8 159,
19,20,Marion Cotillard,251 102,8 100,
20,21,Lionel Messi,250 960,8 095,
21,22,Jenna Ortega,250 262,8 073,
22,23,Gina Lollobrigida,249 310,8 042,
23,24,Ken Block,240 033,7 743,
24,25,Pelé,238 720,7 701,
25,26,The Last of Us (série télévisée),237 813,7 671,
26,27,Championnat du monde masculin de handball,237 745,7 669,
27,28,Décès en janvier 2023,236 920,7 643,
28,29,Avatar : La Voie de l'eau,235 590,7 600,
29,30,Bernard Arnault,232 447,7 498,
30,31,YouTube,228 222,7 362,
31,32,Damien Chazelle,219 995,7 097,
32,33,Leopard 2,218 171,7 038,
33,34,Louis de Funès,211 051,6 808,
34,35,Turquie,207 763,6 702,
35,36,Al-Nassr Football Club,207 535,6 695,
36,37,Cameroun,203 500,6 565,
37,38,Char Leclerc,203 193,6 555,
38,39,Tomer Sisley,202 965,6 547,
39,40,The Last of Us,200 926,6 481,
40,41,"Avatar (film, 2009)",199 251,6 427,
41,42,Kristin Scott Thomas,196 022,6 323,
42,43,Fabrice Burgaud,195 662,6 312,
43,44,Galette des rois,188 806,6 091,
44,45,Jeff Beck,186 348,6 011,
45,46,Riley Keough,185 863,5 996,
46,47,Signe du zodiaque,185 789,5 993,
47,48,Google,184 065,5 938,
48,49,Corée du Nord,183 667,5 925,
